epoch	avg_loss	train_accuracy	dev_accuracy
0	0.775560719774	0.594202898551	1.54525768731
1	0.585518517169	0.884057971014	2.22174101343
2	0.493002410125	0.840579710145	2.30879168471
3	0.438303286034	0.869565217391	2.33131225639
4	0.401323683278	0.898550724638	2.44824599394
epoch	avg_loss	train_accuracy	dev_accuracy
0	0.778250663271	0.521739130435	1.58770030316
1	0.607793922212	0.811594202899	2.06582936336
2	0.521828502111	0.913043478261	2.23170203551
3	0.466702095961	0.942028985507	2.3495019489
4	0.428430639413	0.913043478261	2.39237765266
epoch	avg_loss	train_accuracy	dev_accuracy
0	0.719437315893	0.710144927536	1.85751407536
epoch	avg_loss	train_accuracy	dev_accuracy
0	0.292545619283	1.10144927536	2.72715461239
1	0.540569546363	0.753623188406	2.25638804677
2	0.461349753826	0.913043478261	2.29363360762
3	0.415263007011	0.95652173913	2.41966219142
4	0.384672889705	0.95652173913	2.45734084019
1	0.21938375253	0.95652173913	2.79904720658
epoch	avg_loss	train_accuracy	dev_accuracy
0	0.300572861724	0.942028985507	2.63144218276
2	0.192540869882	1.05797101449	2.8354265916
1	0.222816506481	0.971014492754	2.8098744045
3	0.180247188623	0.985507246377	2.77436119532
2	0.195133544435	1.0	2.80424426159
4	0.172979362036	1.05797101449	2.76916414032
3	0.180833097187	1.05797101449	2.82979644868
5	0.169041751555	0.985507246377	2.82546556951
4	0.172583038522	1.01449275362	2.80034647033
6	0.166469941115	0.95652173913	2.76310090948
5	0.167500757369	0.985507246377	2.86530965786
7	0.164682235276	0.971014492754	2.79038544825
6	0.163696074734	0.985507246377	2.78692074491
8	0.163551493663	1.04347826087	2.80164573408
7	0.161092419163	1.02898550725	2.80077955825
9	0.162806712366	0.942028985507	2.74361195323
8	0.159108217638	1.08695652174	2.84798614119
10	0.162232367118	1.0	2.7942832395
9	0.157825958782	1.0	2.85708098744
11	0.162011769854	0.971014492754	2.75790385448
10	0.156905148638	0.95652173913	2.83196188826
12	0.162088198513	1.01449275362	2.77955825032
11	0.156407175791	1.02898550725	2.7713295799
13	0.162428167007	1.01449275362	2.7301862278
12	0.156198741208	1.07246376812	2.82849718493
14	0.162768785109	1.07246376812	2.72888696405
13	0.156251277568	0.942028985507	2.75097444781
15	0.163314100996	1.01449275362	2.70246860113
14	0.156454658694	1.0	2.78085751408
16	0.163670103998	1.05797101449	2.78302295366
15	0.156632236419	1.14492753623	2.80554352534
17	0.164023839849	1.02898550725	2.76223473365
16	0.156880445577	0.985507246377	2.73884798614
18	0.164576008432	1.08695652174	2.76916414032
17	0.157272956205	1.01449275362	2.76959722824
19	0.165215543215	0.95652173913	2.73928107406
18	0.157735110517	1.01449275362	2.76310090948
20	0.165755665506	1.0	2.74491121698
19	0.158346846776	1.11594202899	2.74577739281
21	0.166350720162	1.01449275362	2.75097444781
20	0.158892746794	1.02898550725	2.75270679948
22	0.16708127028	1.02898550725	2.7531398874
21	0.159515925652	1.0	2.82719792118
23	0.167813090785	0.95652173913	2.70073624946
22	0.16013796296	1.05797101449	2.79385015158
24	0.168491420156	1.08695652174	2.7583369424
23	0.160804735488	1.05797101449	2.78778692074
25	0.169271071225	0.985507246377	2.71113035946
24	0.161568676072	1.05797101449	2.78432221741
26	0.170013856927	1.0	2.71416197488
25	0.162435044408	1.04347826087	2.77436119532
27	0.170797619373	0.971014492754	2.74491121698
26	0.163337894549	1.0	2.72845387614
28	0.171489904141	1.02898550725	2.73928107406
27	0.164230196958	1.07246376812	2.73668254656
29	0.172264806346	1.01449275362	2.72109138155
28	0.165148137489	1.01449275362	2.76310090948
30	0.173342069803	1.05797101449	2.71416197488
29	0.165946529868	0.927536231884	2.74187960156
31	0.174206747652	0.971014492754	2.70983109571
30	0.16684209657	1.02898550725	2.71762667822
32	0.174932758266	1.0	2.75184062365
31	0.167630117994	0.985507246377	2.75920311823
33	0.175627444428	1.02898550725	2.78042442616
32	0.168564344561	0.971014492754	2.77436119532
34	0.176212542079	0.95652173913	2.72325682113
33	0.169564620696	1.01449275362	2.72065829363
35	0.176943101862	1.0	2.77046340407
34	0.17047853029	1.01449275362	2.7249891728
36	0.177560660521	1.0	2.74361195323
35	0.171410782567	1.01449275362	2.7713295799
37	0.178075116467	1.01449275362	2.74317886531
36	0.172249161566	0.985507246377	2.71805976613
38	0.178733859778	1.0	2.7635339974
37	0.173109615218	0.95652173913	2.74621048073
39	0.179317793892	0.95652173913	2.75703767865
38	0.174038394312	1.07246376812	2.76959722824
40	0.180065963228	0.913043478261	2.74144651364
39	0.174848752816	0.985507246377	2.73105240364
41	0.180726152035	1.02898550725	2.75400606323
40	0.175772635863	0.927536231884	2.73061931572
42	0.18138876596	0.95652173913	2.77003031615
43	0.1820322664	1.02898550725	2.72195755738
41	0.176739321464	0.985507246377	2.77479428324
42	0.17759569545	0.985507246377	2.71113035946
44	0.182741374717	1.0	2.69987007362
45	0.183406309105	0.971014492754	2.75487223906
43	0.178538240203	1.01449275362	2.70030316154
46	0.18408549169	1.01449275362	2.76180164573
44	0.179575340267	0.942028985507	2.69294066696
47	0.184950535315	0.985507246377	2.67215244695
45	0.18054004553	1.02898550725	2.72628843655
48	0.185788964471	0.942028985507	2.7275877003
46	0.181485745036	1.04347826087	2.72802078822
49	0.186532213592	0.985507246377	2.70506712863
47	0.182429305176	1.02898550725	2.7505413599
50	0.187417341289	0.971014492754	2.74058033781
48	0.183330868014	0.840579710145	2.64919878735
51	0.18830570561	1.04347826087	2.73798181031
49	0.184153398452	0.971014492754	2.72672152447
52	0.189198506212	1.01449275362	2.74621048073
50	0.185042904669	1.02898550725	2.7197921178
53	0.190022055786	0.985507246377	2.71372888696
54	0.190907023227	1.07246376812	2.71416197488
55	0.1917438513	0.942028985507	2.72932005197
56	0.192417285805	1.01449275362	2.78388912949
epoch	avg_loss	train_accuracy	dev_accuracy
0	0.289731487481	1.0	2.74101342573
1	0.218272140885	0.913043478261	2.77566045907
2	0.192461239082	1.01449275362	2.85708098744
3	0.179730022858	1.10144927536	2.82979644868
4	0.172433530427	0.971014492754	2.75790385448
5	0.168012177991	1.05797101449	2.7942832395
6	0.165072370133	0.971014492754	2.81766998701
7	0.163384037855	1.0	2.73408401906
8	0.162573739152	1.08695652174	2.71762667822
9	0.162079583895	1.0	2.807275877
10	0.161626632865	1.08695652174	2.79255088783
11	0.161332234734	1.02898550725	2.77089649199
12	0.161046760693	1.07246376812	2.79731485492
13	0.161078464575	0.985507246377	2.7531398874
14	0.161171500571	1.0	2.70290168904
15	0.161406845076	1.05797101449	2.76743178865
16	0.161731408322	0.942028985507	2.76440017324
